45389;0.7;0;45536;0.076;11;34;0.9978;18688;0.56;45391;5
45511;0.88;0;45445;0.098;25;67;0.9968;45325;0.68;45513;5
45511;0.76;0.04;45353;0.092;15;54;0.997;46082;0.65;45513;5
45333;0.28;0.56;45536;0.075;17;60;0.998;42430;0.58;45513;6
45389;0.7;0;45536;0.076;11;34;0.9978;18688;0.56;45391;5
45389;0.66;0;45505;0.075;13;40;0.9978;18688;0.56;45391;5
45542;0.6;0.06;45444;0.069;15;59;0.9964;45354;0.46;45391;5
45358;0.65;0;45323;0.065;15;21;0.9946;14305;0.47;10;7
45511;0.58;0.02;2;0.073;9;18;0.9968;13210;0.57;45421;7
45419;0.5;0.36;45297;0.071;17;102;0.9978;12844;0.8;45422;5
45479;0.58;0.08;45505;0.097;15;65;0.9959;46813;0.54;45331;5
45419;0.5;0.36;45297;0.071;17;102;0.9978;12844;0.8;45422;5
45448;0.615;0;45444;0.089;16;59;0.9943;21245;0.52;45544;5
45511;0.61;0.29;45444;0.114;9;29;0.9974;46082;20455;45300;5
45543;0.62;0.18;45507;0.176;52;145;0.9986;42430;0.88;45331;5
45543;0.62;0.19;45538;0.17;51;148;0.9986;42795;0.93;45331;5
45420;0.28;0.56;45505;0.092;35;103;0.9969;45354;0.75;45422;7
45299;0.56;0.28;45474;0.368;16;56;0.9968;45599;46753;45360;5
45389;0.59;0.08;45386;0.086;6;29;0.9974;13940;0.5;9;4
45542;0.32;0.51;45505;0.341;17;56;0.9969;45385;45505;45331;6
45543;0.22;0.48;45505;0.077;29;60;0.9968;14305;0.53;45391;6
45450;0.39;0.31;45353;0.082;23;71;0.9982;19054;0.65;45482;5
45542;0.43;0.21;45444;0.106;10;37;0.9966;42795;0.91;45421;5
45420;0.49;0.11;45353;0.084;9;67;0.9968;42795;0.53;45391;5
45541;0.4;0.14;45384;0.085;21;40;0.9968;15766;0.63;45482;6
45357;0.39;0.16;45383;0.08;11;23;0.9955;12479;0.56;45360;5
45450;0.41;0.24;45505;0.08;4;11;0.9962;46813;0.59;45421;5
